OTA LOG START
2026-02-23 14:32:15 Device01 Update OK Version:1.27
2026-02-24 00:01:56 Version:1
2026-02-24 00:02:10 Version:1
2026-02-24 00:02:24 Version:1
2026-02-24 00:02:37 Version:1
2026-02-24 00:02:50 Version:1
2026-02-24 00:03:02 Version:1
2026-02-24 00:03:15 Version:1
2026-02-24 00:03:28 Version:1
2026-02-24 00:03:41 Version:1
2026-02-24 00:03:56 Version:1
2026-02-24 00:04:09 Version:1
2026-02-24 00:04:22 Version:1
2026-02-24 00:04:40 Version:1
2026-02-24 00:04:54 Version:1
2026-02-24 00:05:06 Version:1
2026-02-24 00:05:21 Version:1
2026-02-24 00:05:35 Version:1
2026-02-24 00:05:47 Version:1
2026-02-24 00:06:01 Version:1
2026-02-24 00:06:14 Version:1
2026-02-24 00:06:27 Version:1
2026-02-24 00:07:54 Version:1
2026-02-24 00:08:57 Version:1
